EF,ACC,page,author,year,experiment,family,genus,species,plant_type,defence_type_specific,trait_category,experiment_type,study_type,plant_lifestage_2,Nfixing,density,PD2,SR,X_control,SE_control,SD_control,N_control,X_mixture,SE_mixture,SD_mixture,N_mixture,data_source,notes,yi,vi
ef1,1,1,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,condensed tannins,phenolics,field,experimental,NA,No N-fixing neighbours,NA,0.032,2,30.057,2.8,10.844,15,35.849,3.96,15.337,15,fig 3,"2 grass species, check that error bars = SE",0.424279465,0.136333551
ef2,1,2,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,condensed tannins,phenolics,field,experimental,NA,No N-fixing neighbours,NA,0.451,4,30.057,2.8,10.844,15,33.436,2.99,11.58,15,fig 3,"2 grass, 2 forbs",0.293058174,0.134764718
ef3,1,3,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,condensed tannins,phenolics,field,experimental,NA,N-fixing neighbours,NA,0.451,4,30.057,2.8,10.844,15,25.327,2.12,8.211,15,fig 3,"2 grass, 1 herb, 1 legume",-0.478473316,0.137148945
ef4,1,4,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,total phenolics,phenolics,field,experimental,NA,No N-fixing neighbours,NA,0.032,2,152.239,6.47,25.058,15,145.274,7.96,30.829,15,fig 3,2 grass species,-0.24122353,0.134303147
ef5,1,5,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,total phenolics,phenolics,field,experimental,NA,No N-fixing neighbours,NA,0.451,4,152.239,6.47,25.058,15,137.313,6.97,26.995,15,fig 3,"2 grass, 2 forbs",-0.557583256,0.138514985
ef6,1,6,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,total phenolics,phenolics,field,experimental,NA,N-fixing neighbours,NA,0.451,4,152.239,6.47,25.058,15,122.388,7.46,28.892,15,fig 3,"2 grass, 1 herb, 1 legume",-1.073954942,0.15255632
ef13,2,1,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,2,3.605,0.2,0.4,4,2.14,0.16,0.554,12,fig 3,average value across all different 2 species mixtures,-2.638717337,0.550921745
ef14,2,1,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,3,3.605,0.2,0.4,4,1.995,0.13,0.39,9,fig 3,,-3.812159568,0.920055749
ef15,2,2,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,5,3.605,0.2,0.4,4,1.879,0.09,0.298,11,fig 3,,-5.00661967,1.176450441
ef16,2,3,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,N-fixing neighbours,NA,NA,10,3.605,0.2,0.4,4,1.782,0.16,0.277,3,fig 3,,-4.306048862,1.907765962
ef17,2,4,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,2,2.353,0.22,0.44,4,1.768,0.13,0.45,12,fig 3,,-1.234702008,0.380973616
ef18,2,4,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,3,2.353,0.22,0.44,4,1.828,0.18,0.54,9,fig 3,,-0.94864749,0.395723883
ef19,2,5,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,5,2.353,0.22,0.44,4,1.61,0.13,0.431,11,fig 3,,-1.61431639,0.427776338
ef20,2,6,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,N-fixing neighbours,NA,NA,10,2.353,0.22,0.44,4,1.828,0.16,0.277,3,fig 3,,-1.15182409,0.678097529
ef29,3,1,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.42,0.019,2,0.118,N/A,0.006,3,0.109,N/A,0.01,2,supplimentary info,Unthinned BA,-0.860078764,0.907306881
ef30,3,2,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,0.118,N/A,0.006,3,0.107,N/A,0.026,3,supplimentary info,Unthinned LBA,-0.465165769,0.684698266
ef31,3,3,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,0.118,N/A,0.006,3,0.105,N/A,0.016,2,supplimentary info,Unthinned PB,-0.899635053,0.914267656
ef32,3,4,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,0.118,N/A,0.006,3,0.115,N/A,0.02,3,supplimentary info,Unthinned PBA,-0.162118684,0.668856872
ef33,3,5,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,0.118,N/A,0.006,3,0.107,N/A,0.03,3,supplimentary info,Unthinned PLB,-0.405704496,0.680383011
ef34,3,6,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,0.118,N/A,0.006,3,0.12,N/A,0.014,3,supplimentary info,Unthinned PSB,0.148163443,0.668496034
ef35,3,7,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.42,0.608,5,0.118,N/A,0.006,3,0.12,N/A,0.028,2,supplimentary info,Unthinned PSLBA,0.085674791,0.83406735
ef36,3,8,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,0.118,N/A,0.006,3,0.119,N/A,0.003,3,supplimentary info,Unthinned SB,0.168208835,0.669024518
ef37,3,9,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.21,0.019,2,0.129,N/A,0.016,3,0.101,N/A,0.029,2,supplimentary info,Thinned BA,-0.954045465,0.924353608
ef38,3,10,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,0.129,N/A,0.016,3,0.103,N/A,0,2,supplimentary info,Thinned LBA,-1.440118754,1.040727536
ef39,3,11,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,0.129,N/A,0.016,3,0.108,N/A,0.027,3,supplimentary info,Thinned PB,-0.755016145,0.714170782
ef40,3,12,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,0.129,N/A,0.016,3,0.109,N/A,0.023,2,supplimentary info,Thinned PBA,-0.776899012,0.893690541
ef41,3,13,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,0.129,N/A,0.016,3,0.103,N/A,0.027,3,supplimentary info,Thinned PLB,-0.934781894,0.739484766
ef42,3,14,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,0.129,N/A,0.016,3,0.125,N/A,0.009,2,supplimentary info,Thinned PSB,-0.205869772,0.83757157
ef43,3,15,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.21,0.608,5,0.129,N/A,0.016,3,0.123,N/A,0.007,2,supplimentary info,Thinned PSLBA,-0.317489786,0.84341331
ef44,3,16,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,0.129,N/A,0.016,3,0.131,N/A,0.022,2,supplimentary info,Thinned SB,0.079425556,0.833964175
ef45,3,17,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.42,0.019,2,0.173,N/A,0.023,3,0.175,N/A,0.024,2,supplimentary info,Unthinned BA,0.062010311,0.833717861
ef46,3,18,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,0.173,N/A,0.023,3,0.176,N/A,0.017,3,supplimentary info,Unthinned LBA,0.118358557,0.667834062
ef47,3,19,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,0.173,N/A,0.023,3,0.165,N/A,0.02,2,supplimentary info,Unthinned PB,-0.262585756,0.840228461
ef48,3,20,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,0.173,N/A,0.023,3,0.169,N/A,0.02,3,supplimentary info,Unthinned PBA,-0.148083678,0.668494065
ef49,3,21,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,0.173,N/A,0.023,3,0.171,N/A,0.012,3,supplimentary info,Unthinned PLB,-0.086991641,0.667297295
ef50,3,22,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,0.173,N/A,0.023,3,0.174,N/A,0.02,3,supplimentary info,Unthinned PSB,0.03702092,0.666780879
ef51,3,23,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.42,0.608,5,0.173,N/A,0.023,3,0.179,N/A,0.005,2,supplimentary info,Unthinned PSLBA,0.228505659,0.838554817
ef52,3,24,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,0.173,N/A,0.023,3,0.179,N/A,0.025,3,supplimentary info,Unthinned SB,0.199298213,0.669976648
ef53,3,25,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.21,0.019,2,0.213,N/A,0.043,3,0.202,N/A,0.02,2,supplimentary info,Thinned BA,-0.215360795,0.837971361
ef54,3,26,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,0.213,N/A,0.043,3,0.172,N/A,0.021,2,supplimentary info,Thinned LBA,-0.7987228,0.897129145
ef55,3,27,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,0.213,N/A,0.043,3,0.181,N/A,0.02,3,supplimentary info,Thinned PB,-0.761395507,0.714976927
ef56,3,28,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,0.213,N/A,0.043,3,0.212,N/A,0.035,2,supplimentary info,Thinned PBA,-0.017862614,0.833365241
ef57,3,29,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,0.213,N/A,0.043,3,0.191,N/A,0.025,3,supplimentary info,Thinned PLB,-0.499088879,0.687424142
ef58,3,30,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,0.213,N/A,0.043,3,0.193,N/A,0.039,2,supplimentary info,Thinned PSB,-0.346973483,0.845372393
ef59,3,31,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.21,0.608,5,0.213,N/A,0.043,3,0.206,N/A,0.039,2,supplimentary info,Thinned PSLBA,-0.121440719,0.834808118
ef60,3,32,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,0.213,N/A,0.043,3,0.203,N/A,0.053,2,supplimentary info,Thinned SB,-0.155370848,0.835747343
ef61,3,33,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,N-fixing neighbours,0.42,0.019,2,396.77,N/A,12.133,3,375.921,N/A,9.207,2,supplimentary info,Unthinned BA,-1.341892561,1.013400898
ef62,3,34,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,396.77,N/A,12.133,3,388.206,N/A,19.975,3,supplimentary info,Unthinned LBA,-0.413477393,0.68091363
ef63,3,35,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,396.77,N/A,12.133,3,389.029,N/A,8.592,2,supplimentary info,Unthinned PB,-0.505580644,0.858894512
ef64,3,36,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,396.77,N/A,12.133,3,386.697,N/A,16.864,3,supplimentary info,Unthinned PBA,-0.547105486,0.691610368
ef65,3,37,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,396.77,N/A,12.133,3,389.274,N/A,18.563,3,supplimentary info,Unthinned PLB,-0.381410578,0.678789502
ef66,3,38,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,396.77,N/A,12.133,3,386.776,N/A,10.57,3,supplimentary info,Unthinned PSB,-0.700808516,0.707594381
ef67,3,39,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,N-fixing neighbours,0.42,0.608,5,396.77,N/A,12.133,3,399.656,N/A,21.849,2,supplimentary info,Unthinned PSLBA,0.130198023,0.835028486
ef68,3,40,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,396.77,N/A,12.133,3,408.684,N/A,23.236,3,supplimentary info,Unthinned SB,0.512856569,0.688585155
ef69,3,41,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,N-fixing neighbours,0.21,0.019,2,397.887,N/A,8.872,3,410.172,N/A,1.073,2,supplimentary info,Thinned BA,1.222689653,0.982830332
ef70,3,42,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,397.887,N/A,8.872,3,400.569,N/A,14.052,2,supplimentary info,Thinned LBA,0.178433266,0.836517176
ef71,3,43,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,397.887,N/A,8.872,3,392.606,N/A,2.249,3,supplimentary info,Thinned PB,-0.651067432,0.701990733
ef72,3,44,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,397.887,N/A,8.872,3,416.444,N/A,1.712,2,supplimentary info,Thinned PBA,1.836646134,1.170660236
ef73,3,45,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,397.887,N/A,8.872,3,400.351,N/A,11.423,3,supplimentary info,Thinned PLB,0.192228471,0.669745982
ef74,3,46,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,397.887,N/A,8.872,3,412.99,N/A,1.731,2,supplimentary info,Thinned PSB,1.494487809,1.056682714
ef75,3,47,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,N-fixing neighbours,0.21,0.608,5,397.887,N/A,8.872,3,421.971,N/A,3.762,2,supplimentary info,Thinned PSLBA,2.304403364,1.36436082
ef76,3,48,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,LDMC,LDMC,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,397.887,N/A,8.872,3,402.841,N/A,19.012,2,supplimentary info,Thinned SB,0.272572535,0.840762912
ef77,3,49,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,N-fixing neighbours,0.42,0.019,2,152.884,N/A,17.576,3,182.514,N/A,6.778,2,supplimentary info,Unthinned BA,1.441391153,1.041094179
ef78,3,50,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,152.884,N/A,17.576,3,158.382,N/A,22.648,3,supplimentary info,Unthinned LBA,0.216403424,0.670569203
ef79,3,51,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,152.884,N/A,17.576,3,176.849,N/A,10.566,2,supplimentary info,Unthinned PB,1.11207246,0.957003849
ef80,3,52,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,152.884,N/A,17.576,3,168.701,N/A,25.316,3,supplimentary info,Unthinned PBA,0.579107937,0.694613834
ef81,3,53,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,152.884,N/A,17.576,3,162.514,N/A,20.814,3,supplimentary info,Unthinned PLB,0.398876916,0.679925233
ef82,3,54,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,152.884,N/A,17.576,3,155.226,N/A,14.812,3,supplimentary info,Unthinned PSB,0.11497332,0.667768239
ef83,3,55,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,N-fixing neighbours,0.42,0.608,5,152.884,N/A,17.576,3,153.553,N/A,34.349,2,supplimentary info,Unthinned PSLBA,0.019775579,0.833372441
ef84,3,56,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,152.884,N/A,17.576,3,148.348,N/A,15.252,3,supplimentary info,Unthinned SB,-0.219944509,0.670697966
ef85,3,57,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,N-fixing neighbours,0.21,0.019,2,145.353,N/A,4.343,3,145.661,N/A,1.468,2,supplimentary info,Thinned BA,0.061128286,0.833707
ef86,3,58,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,145.353,N/A,4.343,3,160.23,N/A,6.551,2,supplimentary info,Thinned LBA,2.076361687,1.264461119
ef87,3,59,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,145.353,N/A,4.343,3,160.055,N/A,16.086,3,supplimentary info,Thinned PB,0.995646761,0.749276039
ef88,3,60,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,145.353,N/A,4.343,3,136.041,N/A,3.248,2,supplimentary info,Thinned PBA,-1.679777082,1.115498438
ef89,3,61,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,145.353,N/A,4.343,3,153.836,N/A,8.481,3,supplimentary info,Thinned PLB,1.004587769,0.750766382
ef90,3,62,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,145.353,N/A,4.343,3,146.508,N/A,8.919,2,supplimentary info,Thinned PSB,0.133673407,0.835120191
ef91,3,63,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,N-fixing neighbours,0.21,0.608,5,145.353,N/A,4.343,3,133.103,N/A,13.055,2,supplimentary info,Thinned PSLBA,-1.064146016,0.946574008
ef92,3,64,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,SLA,SLA,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,145.353,N/A,4.343,3,153.921,N/A,14.431,2,supplimentary info,Thinned SB,0.684687019,0.880212965
ef93,3,65,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,N-fixing neighbours,0.42,0.019,2,44.393,N/A,5.195,3,39.39,N/A,0.75,2,supplimentary info,Unthinned BA,-0.849060521,0.90542371
ef94,3,66,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,44.393,N/A,5.195,3,37.833,N/A,1.593,3,supplimentary info,Unthinned LBA,-1.362256813,0.821311969
ef95,3,67,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,44.393,N/A,5.195,3,36.59,N/A,1.909,2,supplimentary info,Unthinned PB,-1.288349434,0.99931776
ef96,3,68,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,44.393,N/A,5.195,3,37.46,N/A,1.975,3,supplimentary info,Unthinned PBA,-1.407592019,0.831776274
ef97,3,69,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,44.393,N/A,5.195,3,39.4,N/A,6.938,3,supplimentary info,Unthinned PLB,-0.650021396,0.701877318
ef98,3,70,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,44.393,N/A,5.195,3,41.005,N/A,4.135,3,supplimentary info,Unthinned PSB,-0.575767148,0.694292317
ef99,3,71,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,N-fixing neighbours,0.42,0.608,5,44.393,N/A,5.195,3,40.87,N/A,0.976,2,supplimentary info,Unthinned PSLBA,-0.595762569,0.868826637
ef100,3,72,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,44.393,N/A,5.195,3,45.14,N/A,9.952,3,supplimentary info,Unthinned SB,0.075082397,0.667136447
ef101,3,73,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,N-fixing neighbours,0.21,0.019,2,39.153,N/A,5.401,3,39.83,N/A,2.927,2,supplimentary info,Thinned BA,0.103730522,0.834409335
ef102,3,74,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,39.153,N/A,5.401,3,40.52,N/A,7.241,2,supplimentary info,Thinned LBA,0.162783415,0.835983177
ef103,3,75,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,39.153,N/A,5.401,3,42.887,N/A,1.989,3,supplimentary info,Thinned PB,0.732046773,0.711324373
ef104,3,76,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,39.153,N/A,5.401,3,43.5,N/A,1.725,2,supplimentary info,Thinned PBA,0.695758187,0.881741279
ef105,3,77,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,39.153,N/A,5.401,3,41.913,N/A,2.022,3,supplimentary info,Thinned PLB,0.540017317,0.690968225
ef106,3,78,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,39.153,N/A,5.401,3,44.53,N/A,0.042,2,supplimentary info,Thinned PSB,0.88227553,0.911174344
ef107,3,79,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,N-fixing neighbours,0.21,0.608,5,39.153,N/A,5.401,3,41.83,N/A,3.012,2,supplimentary info,Thinned PSLBA,0.408633605,0.850031476
ef108,3,80,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,total phenolics,phenolics,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,39.153,N/A,5.401,3,45.155,N/A,0.29,2,supplimentary info,Thinned SB,0.984133374,0.930185183
ef109,3,81,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,lignins,phenolics,field,experimental,mature,N-fixing neighbours,0.42,0.019,2,7.026,N/A,0.244,3,7.068,N/A,0.17,2,supplimentary info,Unthinned BA,0.136842014,0.835205907
ef110,3,82,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,lignins,phenolics,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,7.026,N/A,0.244,3,6.753,N/A,0.423,3,supplimentary info,Unthinned LBA,-0.630819897,0.699827812
ef111,3,83,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,lignins,phenolics,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,7.026,N/A,0.244,3,6.955,N/A,0.327,2,supplimentary info,Unthinned PB,-0.187181579,0.836837028
