"","param_id","seed","scenario","mu","mu_label","measure","tau2","baseline_label","baseline_value","k","n_t","n_c","t_t","t_c","sd_t","sd_c","mu_c","replicate"
"42",42,5148,"SMD_tau2=0.25_moderate",0.3,"moderate","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,2
"43",43,5158,"SMD_tau2=0.25_moderate",0.3,"moderate","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,3
"44",44,5168,"SMD_tau2=0.25_moderate",0.3,"moderate","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,4
"45",45,5178,"SMD_tau2=0.25_moderate",0.3,"moderate","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,5
"46",46,5188,"SMD_tau2=0.25_moderate",0.3,"moderate","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,6
"47",47,5198,"SMD_tau2=0.25_moderate",0.3,"moderate","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,7
"48",48,5208,"SMD_tau2=0.25_moderate",0.3,"moderate","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,8
"49",49,5218,"SMD_tau2=0.25_moderate",0.3,"moderate","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,9
"50",50,5228,"SMD_tau2=0.25_moderate",0.3,"moderate","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,10
"51",51,5238,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,1
"52",52,5248,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,2
"53",53,5258,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,3
"54",54,5268,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,4
"55",55,5278,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,5
"56",56,5288,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,6
"57",57,5298,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,7
"58",58,5308,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,8
"59",59,5318,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,9
"60",60,5328,"SMD_tau2=0.25_null",0,"null","SMD",0.25,NA,NA,20,50,50,NA,NA,10,10,100,10
